pygame 2.6.1 (SDL 2.28.4, Python 3.11.7)
Hello from the pygame community. https://www.pygame.org/contribute.html
building the production graph ...
assembling the structure ...
  1637 members, 40 modes, 0.00 .. 18.8 Hz, substep 1.27 ms
  t=  10.5s    6.2 fps   peak   67.5% of yield   0 members hot
  t=  20.9s    6.5 fps   peak   67.5% of yield   0 members hot
  t=  31.2s    5.9 fps   peak   67.5% of yield   0 members hot
  t=  42.4s    5.6 fps   peak   67.5% of yield   0 members hot
  t=  51.8s    6.6 fps   peak   67.5% of yield   0 members hot
  t=  62.8s    5.2 fps   peak   67.5% of yield   0 members hot
  t=  72.7s    6.8 fps   peak   67.5% of yield   0 members hot
  t=  82.7s    5.4 fps   peak   67.5% of yield   0 members hot
  t=  92.9s    6.6 fps   peak   67.5% of yield   0 members hot
  t= 102.3s    5.3 fps   peak   67.5% of yield   0 members hot
  t= 111.6s    6.6 fps   peak   67.5% of yield   0 members hot
  t= 119.8s    6.4 fps   peak   67.5% of yield   0 members hot
  t= 128.6s    7.1 fps   peak   67.5% of yield   0 members hot
  t= 137.2s    7.4 fps   peak   67.5% of yield   0 members hot
  t= 145.8s    7.1 fps   peak   67.5% of yield   0 members hot
  t= 155.8s    4.2 fps   peak   67.5% of yield   0 members hot
  t= 166.0s    6.0 fps   peak   67.5% of yield   0 members hot
  t= 175.6s    5.8 fps   peak   67.5% of yield   0 members hot
  t= 185.3s    6.7 fps   peak   67.5% of yield   0 members hot
  t= 194.5s    6.6 fps   peak   67.5% of yield   0 members hot
  t= 204.0s    5.8 fps   peak   67.5% of yield   0 members hot
  t= 213.9s    6.3 fps   peak   67.5% of yield   0 members hot
  t= 223.4s    6.8 fps   peak   67.5% of yield   0 members hot
  t= 232.3s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 241.9s    6.9 fps   peak   67.5% of yield   0 members hot
  t= 252.2s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 261.9s    5.7 fps   peak   67.5% of yield   0 members hot
  t= 271.9s    6.3 fps   peak   67.5% of yield   0 members hot
  t= 283.0s    5.3 fps   peak   67.5% of yield   0 members hot
  t= 292.0s    6.8 fps   peak   67.5% of yield   0 members hot
  t= 300.6s    6.9 fps   peak   67.5% of yield   0 members hot
  t= 310.0s    6.3 fps   peak   67.5% of yield   0 members hot
  t= 318.5s    7.2 fps   peak   67.5% of yield   0 members hot
  t= 328.0s    5.9 fps   peak   67.5% of yield   0 members hot
  t= 336.4s    7.7 fps   peak   67.5% of yield   0 members hot
  t= 345.4s    7.2 fps   peak   67.5% of yield   0 members hot
  t= 354.2s    5.9 fps   peak   67.5% of yield   0 members hot
  t= 362.7s    6.6 fps   peak   67.5% of yield   0 members hot
  t= 371.2s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 380.0s    6.7 fps   peak   67.5% of yield   0 members hot
  t= 389.8s    6.8 fps   peak   67.5% of yield   0 members hot
  t= 399.1s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 408.0s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 416.7s    5.9 fps   peak   67.5% of yield   0 members hot
  t= 425.5s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 436.0s    5.2 fps   peak   67.5% of yield   0 members hot
  t= 445.4s    6.2 fps   peak   67.5% of yield   0 members hot
  t= 454.6s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 463.1s    7.4 fps   peak   67.5% of yield   0 members hot
  t= 471.7s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 480.7s    7.4 fps   peak   67.5% of yield   0 members hot
  t= 489.0s    7.1 fps   peak   67.5% of yield   0 members hot
  t= 497.0s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 505.3s    6.7 fps   peak   67.5% of yield   0 members hot
  t= 513.3s    7.9 fps   peak   67.5% of yield   0 members hot
  t= 521.2s    7.6 fps   peak   67.5% of yield   0 members hot
  t= 529.1s    8.0 fps   peak   67.5% of yield   0 members hot
  t= 537.1s    7.6 fps   peak   67.5% of yield   0 members hot
  t= 545.2s    7.4 fps   peak   67.5% of yield   0 members hot
  t= 553.1s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 561.2s    7.5 fps   peak   67.5% of yield   0 members hot
  t= 569.7s    7.1 fps   peak   67.5% of yield   0 members hot
  t= 577.7s    7.1 fps   peak   67.5% of yield   0 members hot
  t= 586.5s    7.2 fps   peak   67.5% of yield   0 members hot
  t= 594.5s    7.9 fps   peak   67.5% of yield   0 members hot
  t= 602.9s    7.5 fps   peak   67.5% of yield   0 members hot
  t= 611.5s    7.4 fps   peak   67.5% of yield   0 members hot
  t= 620.2s    7.4 fps   peak   67.5% of yield   0 members hot
  t= 628.7s    6.1 fps   peak   67.5% of yield   0 members hot
  t= 636.9s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 645.4s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 653.6s    7.3 fps   peak   67.5% of yield   0 members hot
  t= 662.3s    7.5 fps   peak   67.5% of yield   0 members hot
  t= 670.6s    7.0 fps   peak   67.5% of yield   0 members hot
  t= 681.9s    4.4 fps   peak   67.5% of yield   0 members hot
  t= 692.2s    5.3 fps   peak   67.5% of yield   0 members hot
  t= 704.0s    6.0 fps   peak   67.5% of yield   0 members hot
  t= 714.4s    6.2 fps   peak   67.5% of yield   0 members hot
  t= 724.8s    5.0 fps   peak   67.5% of yield   0 members hot
